CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
26,부산,26230,부산진구,별난 예인라틴댄스학원,,47289,부산광역시 부산진구 중앙대로 681,5층 별난 예인라틴댄스 학원(부전동),07,댄스,129.0588920,35.1535230,장애인강좌,,
26,부산,26260,동래구,해심검도관,0515571112,47733,동래구 충렬대로 125번길 6,지하1층 해심검도관,01,검도,129.0745626,35.2061257,장애인강좌,,
26,부산,26140,서구,아리랑 멋 태권도장,0512413252,49269,부산광역시 서구 충무대로 24,"208호 아리랑 멋 태권도장(암남동, 송도혜성주상복합빌딩)",22,태권도,129.0163601,35.0775543,장애인강좌,,
26,부산,26350,해운대구,제이엔비당구클럽,,48106,부산광역시 해운대구 양운로80번길 20,6층(좌동),03,기타종목,129.1754302,35.1715323,장애인강좌,,
26,부산,26350,해운대구,코리아짐,0517034445,48082,부산광역시 해운대구 양운로 121-1,5층(좌동),03,기타종목,129.1727209,35.1733481,장애인강좌,,
26,부산,26230,부산진구,밸런스브레인 부산시청센터,0518527889,47209,부산광역시 부산진구 동평로405번길 130,2층 밸런스브레인(양정동),03,기타종목,129.0734162,35.1786870,장애인강좌,,
26,부산,26320,북구,코리아짐,0513385026,46601,부산광역시 북구 함박봉로7번길 49,2층(덕천동),17,유도,129.0227081,35.2111660,장애인강좌,,
26,부산,26440,강서구,윤건우검도관,0512087238,46773,부산광역시 강서구 명지국제8로 229,902호903호(명지동),01,검도,128.9179950,35.0985822,장애인강좌,,
26,부산,26320,북구,MG골프아카데미,0513380087,46567,부산광역시 북구 만덕대로 86,5층 MG골프아카데미(덕천동),02,골프,129.0144589,35.2119587,장애인강좌,,
26,부산,26350,해운대구,반송월드태권도,0515435658,48009,부산광역시 해운대구 신반송로 171,"삼한그린타운 상가동 205호(반송동, 삼한그린타운)",22,태권도,129.1607171,35.2276246,장애인강좌,,
27,대구,27290,달서구,엘림아동발달센터(달서구),026526522,42824,대구광역시 달서구 송현로 46,2층,03,기타종목,128.5472077,35.8227917,장애인강좌,,
27,대구,27710,달성군,팀퍼스트 태권도장,0536177375,43010,대구광역시 달성군 구지면 창리로11길 58-6,2층 팀퍼스트 태권도장,22,태권도,128.4140390,35.6592988,장애인강좌,,
27,대구,27230,북구,단국대 튼튼i 태권스쿨,0533568879,41559,대구광역시 북구 침산남로19길 2,3층 튼튼아이태권도(침산동),22,태권도,128.5868864,35.8894171,장애인강좌,,
27,대구,27710,달성군,달구벌함박승마공원,0535647700,42958,대구광역시 달성군 화원읍 명곡로 118,달구벌함박승마공원,71,승마,128.4959049,35.7886788,장애인강좌,,
27,대구,27710,달성군,"달비체육관(412,413호",0536346664,42947,대구광역시 달성군 화원읍 비슬로 2545,"이진캐스빌상가 412,413호(화원이진캐스빌)",22,태권도,128.4948013,35.8032762,장애인강좌,,
27,대구,27290,달서구,달서복싱.이곡헬스,,42696,대구광역시 달서구 달구벌대로 1328,4층 (주)디에스그룹(이곡동),76,복싱,128.5125181,35.8506481,장애인강좌,,
27,대구,27710,달성군,달성국민체육센터,0536594001,42988,대구광역시 달성군 현풍읍 현풍동로 180,달성국민체육센터,25,헬스,128.4418206,35.7016920,장애인강좌,,
27,대구,27710,달성군,달성군여성문화복지센터,0536594351,42945,대구광역시 달성군 화원읍 성천로 5,달성군여성문화복지센터,25,헬스,128.4879063,35.7985646,장애인강좌,,
27,대구,27710,달성군,달성문화센터,0536594231,42910,대구광역시 달성군 다사읍 대실역북로2길 188,달성문화센터,25,헬스,128.4609555,35.8654751,장애인강좌,,
27,대구,27710,달성군,팀에이스(화원점),0536354860,42956,대구광역시 달성군 화원읍 명천로 222,4층팀에이스,75,합기도,128.4944706,35.7994030,장애인강좌,,
27,대구,27170,서구,티원탁구클럽,0535678051,41828,대구광역시 서구 서대구로 108,4층 티원탁구클럽(평리동),21,탁구,128.5557486,35.8675495,장애인강좌,,
27,대구,27290,달서구,대구공공시설관리공단 두류수영장,0536232150,42672,대구광역시 달서구 공원순환로 237,두류수영장(성당동),12,수영,128.5620955,35.8464827,장애인강좌,,
27,대구,27290,달서구,대구공공시설관리공단 올림픽기념국민생활관,0536348686,42745,대구광역시 달서구 학산로 130,올림픽기념국민생활관(본동),12,수영,128.5405610,35.8331441,장애인강좌,,
27,대구,27290,달서구,대구광역시달구벌재활스포츠센터,0535232112,42635,대구광역시 달서구 달구벌대로291길 100,(용산동),12,수영,128.5254500,35.8535400,장애인강좌,,
27,대구,27260,수성구,대구광역시장애인국민체육센터,0537958063,42250,대구광역시 수성구 유니버시아드로42길 125,대구광역시장애인국민체육센터(대흥동),25,헬스,128.6849945,35.8252490,장애인강좌,,
27,대구,27200,남구,대구광역시지적발달장애인복지협회 달성군지부,0536442356,42411,대구광역시 남구 중앙대로 219,"특수통합교육관 다목적실 1, 2(대명동)",03,기타종목,128.5889174,35.8530252,장애인강좌,,
27,대구,27290,달서구,대구복싱다이어트클럽,0536368868,42832,대구광역시 달서구 한실로 71,일성빌딩 4층(도원동),76,복싱,128.5345083,35.8072395,장애인강좌,,
27,대구,27710,달성군,대구복싱다이어트클럽화원점,,42946,대구광역시 달성군 화원읍 성화로4길 11,4층,76,복싱,128.4910671,35.8016983,장애인강좌,,
27,대구,27260,수성구,대구장애인종합복지관,027631011,42222,대구광역시 수성구 파동로51길 26-17,대구장애인종합복지관(파동),03,기타종목,128.6069394,35.8270248,장애인강좌,,
27,대구,27110,중구,투게더탁구장,,41975,대구광역시 중구 달구벌대로 1992,지하1층(남산동),21,탁구,128.5821160,35.8644236,장애인강좌,,
27,대구,27230,북구,대장부 태권도,0539568021,41531,대구광역시 북구 동북로 345,"상가 401동 2층 207호(복현동, 복현푸르지오)",22,태권도,128.6276666,35.8917545,장애인강좌,,
